# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
tirade	diatribe	diatribe	NOUN	a prolonged, bitter outburst of criticism			
harangue	diatribe	diatribe	NOUN	a lengthy, aggressive speech of criticism			
disbelieving	incredulous	incredulous	ADJ	unable or unwilling to believe what one hears or sees			
skeptical	incredulous	incredulous	ADJ	doubting the truth of something one has been told	philosophy|scientific|hypothesis|methodology|peer-reviewed		
unbelieving	incredulous	incredulous	ADJ	not believing what is said or seen	faith|church|God|religious|salvation|heathen		
naive	ingenuous	ingenuous	ADJ	innocently trusting and unsuspecting	art|painter|painting|folk		
innocent	ingenuous	ingenuous	ADJ	artlessly simple and unsuspecting in manner	guilty|verdict|trial|court|crime|charges|proven|jury|victims|bystander		
unsuspecting	ingenuous	ingenuous	ADJ	having no suspicion of deceit or danger			
subsided	abated	abate	VERB	became less intense (of storms, pain, noise, anger)	foundation|soil|ground|house|land|sinkhole		
died down	abated	abate	VERB	became gradually less intense or widespread			
lessen	abate	abate	VERB	to become or make less intense			
worsen	exacerbate	exacerbate	VERB	to make an existing problem or bad situation worse (transitive)	health|symptoms|condition|weather|forecast|mood swings		
made worse	exacerbated	exacerbate	VERB	was caused to become worse by some factor			
aggravate	exacerbate	exacerbate	VERB	to make a problem or situation more severe	assault|burglary|robbery|damages|felony|charges		
frustrated	exasperated	exasperated	ADJ	feeling annoyed and irritated because of obstacles or other people	plans|plan|attempt|attempts|efforts|ambitions|bid|takeover|sexually		
annoyed	exasperated	exasperated	ADJ	irritated and impatient with someone or something			
irritated	exasperated	exasperated	ADJ	made angry or impatient by someone's behaviour	skin|eyes|eye|throat|rash|lungs|stomach|chemical|itchy		
interchangeable	fungible	fungible	ADJ	of goods or units, able to be substituted one for another because each is equal in value	parts|part|lens|blades|nozzle|battery	money|currency|commodity|commodities|goods|assets|oil|tokens|shares|units|labour|labor|resources	
replaceable	fungible	fungible	ADJ	able to be swapped for an equivalent unit of the same value	battery|filter|cartridge|blade|bulb	money|currency|commodity|commodities|goods|assets|workers|labour|labor|units	
clichéd	hackneyed	hackneyed	ADJ	unoriginal because overfamiliar from repeated use			
overused	hackneyed	hackneyed	ADJ	of a word, phrase or idea, used so often it has lost force	muscle|muscles|joint|knee|tendon|antibiotics|injury	phrase|word|words|expression|term|metaphor|cliché|plot|trope|tropes|line|joke|jokes|image|imagery	
stale	hackneyed	hackneyed	ADJ	of ideas or writing, no longer fresh or original	bread|air|beer|cake|smell|crumbs|food|coffee|cigarette	ideas|idea|jokes|joke|writing|plot|formula|routine|rhetoric|arguments|material	
out of place	incongruous	incongruous	ADJ	not fitting in with its surroundings or context	put it back|tidy|shelf|filed		
jarring	incongruous	incongruous	ADJ	clashing oddly with what surrounds it	sound|noise|music|brakes|chord|alarm|crash		
identical	interchangeable	interchangeable	ADJ	so alike as to be substitutable for one another	twins|twin|DNA|copy of the|fingerprints		
equivalent	interchangeable	interchangeable	ADJ	equal in function so that either can be used	equation|mathematically|dose|dosage|degree|qualification|carbon|calories	parts|components|products|models|versions|roles|terms|units|tools	
terse	laconic	laconic	ADJ	using very few words in speech or writing			
brief	laconic	laconic	ADJ	of a reply or remark, using very few words	court|lawyer|attorney|filing|case|judge|moment|period|visit|stint|briefing|summary|encounter|history	reply|answer|response|remark|comment|statement|said|note|email|text|message	
profitable	lucrative	lucrative	ADJ	yielding a large financial gain	unprofitable		
well-paying	lucrative	lucrative	ADJ	providing a lot of money or income			
bossy	magisterial	magisterial	ADJ	fond of giving orders; domineering			
overbearing	magisterial	magisterial	ADJ	unpleasantly domineering in manner			
high-handed	magisterial	magisterial	ADJ	using authority without regard for others' feelings			
burdensome	onerous	onerous	ADJ	involving heavy effort or obligation			
demanding	onerous	onerous	ADJ	of a task or requirement, requiring much effort	customer|customers|boss|client|clients|child|children|parents|fans|toddler|husband|wife|demanding that|demanding to know	task|tasks|requirements|requirement|schedule|process|duties|obligations|conditions|paperwork|workload|role|job	
heavy	onerous	onerous	ADJ	of a burden or workload, hard to bear	weight|kg|pounds|lifting|rain|snow|traffic|metal|machinery|drinker|smoker|footsteps|heavy on the	burden|workload|obligations|duties|responsibilities|requirements|regulation|taxes|demands	
criticism	opprobrium	opprobrium	NOUN	harsh public disapproval directed at someone	constructive|literary|self-criticism|helpful|feedback|criticism of the novel|film criticism		
condemnation	opprobrium	opprobrium	NOUN	strong public censure or disapproval	condemnation order|building|property|demolition		
stingy	parsimonious	parsimonious	ADJ	unwilling to give or spend money			
tight-fisted	parsimonious	parsimonious	ADJ	reluctant to spend money			
frugal	parsimonious	parsimonious	ADJ	sparing in the use of money or resources	meal|supper|dinner|breakfast|lunch		
minor	peripheral	peripheral	ADJ	of little importance or relevance	minors|age|child|children|drinking|league|chord|key|surgery|injuries|offence|convicted|scale	issue|issues|role|concern|concerns|detail|details|point|points|matter|matters|character|figure|player|importance|question	
unimportant	peripheral	peripheral	ADJ	of minor significance			
marginal	peripheral	peripheral	ADJ	of secondary or minor importance	tax|rate|cost|costs|seat|seats|gains|utility|revenue|profit|increase		
controversial	provocative	provocative	ADJ	deliberately likely to provoke strong reaction or anger		remarks|remark|comments|comment|statement|essay|article|book|speech|tweet|claim|question|artwork|ad|campaign|interview	
edgy	provocative	provocative	ADJ	deliberately challenging or likely to offend	nervous|tense|jittery|on edge|anxious|markets|investors	comedy|joke|jokes|humour|humor|art|ad|advert|campaign|satire|sketch|material	
give up	renounce	renounce	VERB	to formally surrender a claim, right or allegiance	smoking|cigarettes|drinking|alcohol|chocolate|sugar|hope|trying|seat on the bus	claim|claims|title|throne|citizenship|nationality|right|rights|allegiance|violence|faith|inheritance|peerage|crown	
gave up	renounced	renounce	VERB	formally surrendered a claim, right or allegiance	smoking|cigarettes|drinking|alcohol|chocolate|sugar|hope|trying|seat	claim|claims|title|throne|citizenship|nationality|right|rights|allegiance|violence|faith|inheritance|peerage|crown	
abandon	renounce	renounce	VERB	to give up formally a belief, claim or allegiance	ship|car|building|baby|dog|site|village|luggage|plan to|mission	claim|faith|allegiance|doctrine|principles|ideology|violence|creed|citizenship	
are plentiful	abound	abound	VERB	exist in large numbers or amounts			
are everywhere	abound	abound	VERB	exist in large numbers throughout a place			
shapeless	amorphous	amorphous	ADJ	lacking a definite shape			
vague	amorphous	amorphous	ADJ	lacking clear form or definition	memory|recollection|feeling|suspicion|law|wording|statute		
formless	amorphous	amorphous	ADJ	without clear form			
strict	austere	austere	ADJ	severe or stern in manner	rules|deadline|law|diet|instructions|orders|sense|confidence|liability|vegetarian		
plain	austere	austere	ADJ	without decoration or comfort	plain English|obvious|clear|plainly|language|truth|plains		
stern	austere	austere	ADJ	severe and forbidding in manner	ship|boat|bow|vessel|deck		
contradict	belie	belie	VERB	be at odds with, fail to match	himself|herself|myself		
contradicted	belied	belie	VERB	was at odds with, gave a false impression of	himself|herself|witness|testimony		
masked	belied	belie	VERB	concealed the true state of things	face|mask|surgical|oxygen|smell|odor		
fickle	capricious	capricious	ADJ	changeable, unpredictable in mood or loyalty			
unpredictable	capricious	capricious	ADJ	prone to sudden arbitrary changes	results|data|outcome|score|game|random number|algorithm		
moody	capricious	capricious	ADJ	given to sudden changes of mood	lighting|music|photograph|atmosphere|film		
intellectual	cerebral	cerebral	ADJ	appealing to the intellect rather than the body or emotions	property|intellectual property|disability|rights|patent|copyright		
brainy	cerebral	cerebral	ADJ	intellectual in character			
pleasant	congenial	congenial	ADJ	agreeable and suited to one's taste	weather|smell|taste|aroma|temperature|surprise		
agreeable	congenial	congenial	ADJ	pleasant and to one's liking	agreeable to the terms|contract|proposal|consent		
friendly	congenial	congenial	ADJ	pleasant and sociable	user-friendly|eco-friendly|fire|match|friendly fire		
noticeable	conspicuous	conspicuous	ADJ	easily seen, attracting attention			
obvious	conspicuous	conspicuous	ADJ	clearly visible, standing out	reason|answer|choice|conclusion|obvious that|obviously		
eye-catching	conspicuous	conspicuous	ADJ	attracting notice			
quick	cursory	cursory	ADJ	hasty and not thorough	runner|sprint|quick to|reflexes|quickly|speed|meal|fix	look|glance|review|reading|inspection|examination|survey|check|scan	
hasty	cursory	cursory	ADJ	done quickly and without attention to detail	retreat|exit|marriage|departure		
brief	cursory	cursory	ADJ	superficial and not detailed	legal|lawyer|court|filed|briefs|underwear|brief that	glance|look|review|inspection|examination|reading|survey	
intimidating	daunting	daunting	ADJ	discouraging through its difficulty or scale	witness|threatened|bully|threat		
overwhelming	daunting	daunting	ADJ	seeming too difficult to face	majority|evidence|victory|support|favor	task|challenge|prospect|job|project|list|amount of work	
scary	daunting	daunting	ADJ	frightening because difficult	movie|ghost|horror|monster|halloween		
idolize	deify	deify	VERB	revere as a god			
idolized	deified	deify	VERB	revered as a god			
worship	deify	deify	VERB	regard as divine	service|church|congregation|hymn|place of worship|Sunday		
preachy	didactic	didactic	ADJ	instructive in a patronizing way			
instructive	didactic	didactic	ADJ	intended to teach			
moralizing	didactic	didactic	ADJ	teaching a lesson in a heavy-handed way			
spread	disseminate	disseminate	VERB	distribute information widely	butter|jam|bread|cheese|wings|disease|virus|infection|fire|wildfire|legs|spread out|bedspread	information|news|knowledge|ideas|message|findings|report|research|propaganda|data	
distribute	disseminate	disseminate	VERB	spread widely, of information or material	food|aid|weight|goods|shares|dividends|water	information|copies|materials|report|findings|leaflets|documents|knowledge	
circulate	disseminate	disseminate	VERB	pass information around widely	blood|air|water|heat|coolant|room	information|memo|report|document|rumor|draft|news	
doable	feasible	feasible	ADJ	able to be done practically			
practical	feasible	feasible	ADJ	capable of being carried out	practical joke|exam|practical experience|hands-on|practical skills|shoes|clothes	plan|proposal|option|solution|alternative|approach|idea|scheme	
workable	feasible	feasible	ADJ	practicable, able to succeed			
disregard	flout	flout	VERB	openly defy a rule or convention	safety|feelings|advice from|without regard	rules|law|laws|regulations|convention|ban|order|norms|restrictions|authority	
ignore	flout	flout	VERB	openly refuse to obey rules	message|call|email|him|her|me|question|pain|warning signs	rules|law|laws|regulations|ban|curfew|restrictions|guidelines|convention	
defy	flout	flout	VERB	openly disregard rules or authority	gravity|description|belief|odds|logic	rules|law|laws|regulations|ban|orders|convention	
insult	affront	affront	NOUN	a remark or act that offends someone (noun)	injury|adding|added|hurled|shouted|trading|traded|exchanged		
insults	affronts	affront	NOUN	remarks or acts that offend (plural noun)	hurled|shouted|traded|exchanged|shouting		
slight	affront	affront	NOUN	an act of disrespect or snub (noun)	slightly|chance|increase|delay|risk|edge|improvement|difference|fever|limp	insult|offense|offence|perceived|dignity|honour|honor|apology|snub	
